@0||#04
@2||#0a||u16(299)
@7||#46||strb(4247313143)
@15||#14||u8(39)
@19||#46||strb(4247313143)
@27||#16||strb(544143)
@33||#14||u8(0)
@37||#72||strb(56343034303031)
@47||#00||str(【薫子】\N「霤……聾…韲、韲不起」)
@92||#00||str(【魚住】\N「鵑懴瓏西根本没法吃聾」)
@129||#46||strb(4247313143)
@137||#16||strb(544145)
@143||#14||u8(0)
@147||#72||strb(56343034303032)
@157||#00||str(【薫子】\N「……非常抱歉」)
@194||#00||str(【魚住】\N「就算詮再怎綴努力做，訶果不行的誡，那就是不行聾…」)
@267||#46||strb(4247313143)
@275||#16||strb(544145)
@281||#14||u8(0)
@285||#72||strb(56343034303033)
@295||#00||str(【薫子】\N「…是的……」)
@322||#00||str(薫子无精打采地低下了繹。)
@351||#18||strb(5052343035)
