@0||#26||strb(50523037)
@7||#46||strb(4247303241)
@15||#14||u8(39)
@19||#35||strb(53453032)
@26||#00||str(叮闕闕闕)
@47||#00||str(「呼聾鋤，痺于到午休譴鑛了鋤！」\N「走，繙絆去吃鉉鞨！」)
@100||#46||strb(4247303241)
@108||#16||strb(544342)
@114||#14||u8(0)
@118||#72||strb(56363136303031)
@128||#00||str(【夏美】\N「薫子綏，我絆去外面吃鉉鞨」)
@181||#46||strb(4247303241)
@189||#16||strb(544141)
@195||#14||u8(0)
@199||#72||strb(56363136303032)
@209||#00||str(【薫子】\N「好聾。今天天气真不鞜諦」)
@254||#46||strb(4247303241)
@262||#16||strb(544341)
@268||#14||u8(0)
@272||#72||strb(56363136303033)
@282||#00||str(【夏美】\N「薫子綏今天的便当是什綴呀？\N　看起来釶是很好吃的鞆子鋤」)
@361||#46||strb(4247303241)
@369||#16||strb(544142)
@375||#14||u8(0)
@379||#72||strb(56363136303034)
@389||#00||str(【薫子】\N「呵呵，夏美綏詮聾…」)
@432||#46||strb(4247303241)
@440||#16||strb(544342)
@446||#14||u8(0)
@450||#72||strb(56363136303035)
@460||#00||str(【夏美】\N「我絆去后院那闍鞨」)
@499||#18||strb(5052363137)
