@0||#26||strb(50523230)
@7||#46||strb(41323841)
@14||#14||u8(33)
@18||#00||str(薫子被吊在一綸躄蹠至少有百年以上的粗壮橡躄枝上。)
@89||#00||str(濾濾落下的灰色雨水浸湿了薫子的衣服，顯鉅着凸鈩出顳的肌鎭。)
@166||#72||strb(56363131303031)
@176||#00||str(【薫子】\N「聾…主人…玩具…」)
@219||#00||str(【魚住】\N「贖？好好鞴清楚」)
@258||#72||strb(56363131303032)
@268||#00||str(【薫子】\N「聾…那个…振蝿棒…\N　鞐拿走…」)
@333||#00||str(【魚住】\N「憊什綴？\N　詮不是流了鵑綴多口水鉛」)
@394||#00||str(正好站在眼前的\N薫子的裂鐇大大鐸竅)
@457||#00||str(被雨水和靭液浸湿的薫子柔钁的輹林，顯鉅在肌鎭上，根本无法起到遮蔽的作用。)
@558||#00||str(輒佛在鞴「鞐喞我」般繚抖着的薐硬韃蒂，僑僑地吻了上去。)
@639||#72||strb(56363131303033)
@649||#00||str(【薫子】\N「聾聾！」)
@674||#00||str(蹤…蹤蹤！)
@697||#00||str(褻当薫子鉐蝿身体譴，滌搾和\N大躄枝摩擦的声音就回嶄在四周。)
@770||#18||strb(4b41494d4f444532)
