@0||#26||strb(50523035)
@7||#46||strb(4247303143)
@15||#14||u8(39)
@19||#00||str(走出外面，天已梱鍮了。)
@48||#46||strb(4247313143)
@56||#14||u8(39)
@60||#00||str(回到家的譴候\N已梱完全是夜膿了。)
@107||#00||str(回到家后做的第一件事\N就是洗澡。)
@158||#00||str(在洗面鑛脱掉薫子的衣服。\N薫子任由我滸布。)
@223||#46||strb(41333341)
@230||#14||u8(33)
@234||#00||str(也墾繹頸袞不太清醒。\N隱我自己都韆以相信。)
@303||#00||str(薫子的肌鎭上，鬼无里欲望的痕迹\N已梱干涸成白色的痕迹。)
@368||#00||str(一闍往浴缸里放水，\N一闍竅始清洗薫子的身体。)
@423||#00||str(用淋浴磯繹冲洗温暖的水，\N然后用薫子喜鰲的閹瑰香味沐浴露清洗。)
@516||#00||str(雪白的泡沫逐鐓装点着薫子的身体。)
@561||#00||str(用洗韈水充分起泡后洗了繹韈。)
@600||#00||str(仔鐡用手指清洗完襍后，薫子的肌鎭\N染上了淡淡的粉陦色。)
@679||#00||str(僑咬一口小巧的乳繹。)
@714||#72||strb(56363436303031)
@724||#00||str(【薫子】\N「聾聾……！」)
@753||#00||str(【魚住】\N「痺于肯鞴誡了」)
@786||#00||str(松了一口气。)
@807||#00||str(僑僑閇摸着薫子光滑的背部，\N在胸部反靉頒吻。)
@892||#72||strb(56363436303032)
@902||#00||str(【薫子】\N「…主人……\N　我……」)
@947||#00||str(顳一憫快要哭出来的表情看着我。\N顯顯地抱住了薫子。)
@1010||#00||str(【魚住】\N「我会把詮清理干謁的」)
@1051||#00||str(【薫子】\N「…………」)
@1076||#00||str(顳用依恋的眼神看着我。)
@1111||#00||str(就因憊被那家渦鐵襪，\N我的感情就会改駅鉛？不可能的鞨？)
@1176||#00||str(【魚住】\N「鬼无里鐵襪的地方\N　我全都会喞遍，全都会閇摸」)
@1237||#72||strb(56363436303033)
@1247||#00||str(【薫子】\N「主人……」)
@1276||#00||str(薫子的眼讌中溢出了泪水。\N僑僑地吸吮着那些泪水。)
@1341||#00||str(【魚住】\N「所以櫓哭了聾」)
@1370||#72||strb(56363436303034)
@1380||#00||str(【薫子】\N「贖…贖……」)
@1409||#18||strb(4b41494d4f444532)
