4_button	445	27	false		显示设置	%[func:owner.onPage1, storage:"cfg_bt_p1"]
4_button	619	27	false		声音设置	%[current:true, storage:"cfg_bt_p2"]
4_button	793	27	false		个别设置	%[func:owner.onPage3, storage:"cfg_bt_p3"]
3_button	975	28	false		恢复为默认	%[func:owner.onLoadDefault, storage:"cfg_default"]
3_button	1077	14	false		返回标题画面	%[func:owner.onTitleBackButton, storage:"cfg_title"]
3_button	1128	14	false		退出游戏	%[func:owner.onExitButton, storage:"cfg_exit"]
3_button	1179	3	false		返回原画面	%[func:owner.onBackButton, storage:"cfg_back"]
slider	92	103	false	sysGlobalVolume	整体音量设置	%[func:owner.onGlobalVol, min:0, max:100000, sliderwidth:428, SwhoValue:true]
slider	92	177	false	sysBgmVolume	音乐音量设置	%[func:owner.onBgmVol, min:0, max:100, sliderwidth:428, bgmslider:true, SwhoValue:true]
3_button	578	217	false		测试音效音量	%[func:owner.onSeTest, storage:"cfg_test", pressSysSe:false]
slider	92	251	false	sysSeVolume	音效音量设置	%[func:owner.onSeVol, min:0, max:100, sliderwidth:428, SwhoValue:true]
3_button	578	291	false		测试系统音量	%[func:owner.onSystemTest, storage:"cfg_test", pressSysSe:false]
slider	92	325	false	sysSystemVolume	系统音量设置	%[func:owner.onSystemVol, min:0, max:100, sliderwidth:428, SwhoValue:true]
3_button	578	365	false		测试语音音量	%[func:owner.onVoiceTest, storage:"cfg_test", pressSysSe:false]
slider	92	399	false	sysVoiceVolume	语音音量设置	%[func:owner.onVoiceVol, min:0, max:100, sliderwidth:428, SwhoValue:true]
3_button	578	439	false		测试语音播放时的BGM音量	%[func:owner.onFadeBgmTest, storage:"cfg_test", pressSysSe:false]
check_4img	97	475	false	sysBgmTempFade	语音播放时降低BGM音量	%[func:function(obj){sysBgmTempFade = obj.check;}, storage:"cfg_check_on"]
check_4img	352	475	true	!sysBgmTempFade	语音播放时不降低BGM音量	%[func:function(obj){sysBgmTempFade = !obj.check;}, storage:"cfg_check_off"]
slider	92	507	false	sysBgmDownVolume	语音播放时的BGM音量	%[func:owner.onBgmDownVol, min:0, max:100, sliderwidth:428, SwhoValue:true]
check_4img	97	575	false	sysShowBgmTitle	显示BGM曲名	%[func:function(obj){ sysShowBgmTitle=obj.check;}, storage:"cfg_check_on"]
check_4img	352	575	true	!sysShowBgmTitle	不显示BGM曲名	%[func:function(obj){ sysShowBgmTitle=!obj.check;}, storage:"cfg_check_off"]
check_4img	97	649	false	!sysVoiceCancel	不在下一个语音前停止语音	%[func:function(obj){ sysVoiceCancel=!obj.check;}, storage:"cfg_check_on"]
check_4img	352	649	true	sysVoiceCancel	在页面末尾停止语音	%[func:function(obj){ sysVoiceCancel=obj.check;}, storage:"cfg_check_off"]
vo_button	655	120	false		石青的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_アズライト", str:"アズライト"]
vo_button	793	120	true		塞露莉亚的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_セルリア", str:"セルリア"]
vo_button	931	120	true		瑠璃的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_瑠璃", str:"瑠璃"]
vo_button	1069	120	true		外来少女的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_外から来た少女", str:"ノイエ"]
vo_button	655	258	true		蓝理的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_藍理", str:"藍理"]
vo_button	793	258	true		青的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_シアン", str:"シアン"]
vo_button	931	258	true		青金石的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_ラピスラズリ", str:"ラピスラズリ"]
vo_button	1069	259	true		贝伦斯的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_ベレンス", str:"ベレンス"]
vo_button	655	396	true		亚比诺斯的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_アービノス", str:"アービノス"]
vo_button	793	396	true		其他男性的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_その他男", str:"その他男"]
vo_button	931	396	true		其他女性的语音音量	%[func:owner.changeVoiceVolumeTarget, storage:"cfg_vo_その他女", str:"その他女"]
3_button	1170	531	false		测试个别语音音量	%[func:owner.onVoiceTestPersonal, storage:"cfg_test", pressSysSe:false]
slider	685	563	false	sf["volアズライト"]	个别语音音量设置	%[func:owner.changeVoiceVolume, min:0, max:1.0, sliderwidth:428, pvoice:true, SwhoValue:true]
check_4img	690	649	false	!sf["vomアズライト"]	播放所选角色语音	%[func:owner.changeVoiceMute, storage:"cfg_check_on"]
check_4img	945	649	true	sf["vomアズライト"]	静音所选角色语音	%[func:owner.changeVoiceMute, storage:"cfg_check_off", mute_onoff:true]
