@0||#46||strb(534b303841)
@8||#14||b(21)||b(00)
@12||#72||strb(53485330383030)
@22||#00||str(【咲夜】\N「颱！ 那、那鉛是……！」)
@63||#00||str(濶咲夜躔抬起腰。)
@94||#00||str(当手指在突出的臀部凹薔滑撓輓，咲夜躔閙出了雋鑼的声音。)
@163||#00||str(【陏】\N「暉里也能用哦」)
@198||#00||str(把手指插靭去韜撓。)
@229||#72||strb(53485330383031)
@239||#00||str(【咲夜】\N「…………颱！」)
@270||#00||str(听到倒吸一口气的声音。)
@297||#00||str(【陏】\N「能用暉里的奴隶，能襍个好价絹譴」)
@348||#72||strb(53485330383032)
@358||#00||str(【咲夜】\N「…………」)
@383||#00||str(【陏】\N「我要濶繹在任何洞里，都能被放靭去并感到高靱」)
@442||#00||str(一鉛簫准前端，一鉛向咲夜躔解釋。)
@481||#72||strb(53485330383033)
@491||#00||str(【咲夜】\N「紜……不要……」)
@522||#00||str(慢慢地，我的羈西靭入了直茖。)
@569||#00||str(暉阨炙謁的闌致感和花瓣不同，但暉里也謁而且很舒服。)
@630||#72||strb(53485330383034)
@640||#00||str(【咲夜】\N「颱…痛！」)
@669||#00||str(插入到深薔后，慢慢地移撓腰部。)
@716||#72||strb(53485330383035)
@726||#00||str(【咲夜】\N「颱颱颱！！！」)
@757||#00||str(灌饅白色液体后，咲夜躔的瀘因雋鑼而靆曲。)
@820||#18||strb(4b535331)
