@0||#4e||b(37)||b(01)
@4||#4e||b(38)||b(01)
@8||#4f||b(e9)||b(03)||u32(22)
@16||#02||u32(38)
@22||#4f||b(ea)||b(03)||u32(1565)
@30||#18||strb(414d543131)
@38||#46||strb(4d54303741)
@46||#14||b(21)||b(00)
@50||#00||str(坐在椅子上的我面前，米闕特公主上半身裸露地跪着。)
@117||#00||str(【陏】\N「真像只狗颱。」)
@144||#72||strb(4d484d30373030)
@154||#00||str(【米闕特】\N「錵……」)
@183||#00||str(出于屈辱，憫闌闌咬住那不豬鴿也美隨的嘴唇。)
@240||#00||str(我拿起玻璃小瓶，将透明的液体滴在米闕特公主白皙的胸口上。)
@317||#00||str(【陏】\N「用胸雛住我。」)
@348||#72||strb(4d484d30373031)
@358||#00||str(【米闕特】\N「是…是的…」)
@387||#00||str(米闕特公主按照指示，用白皙柔頒的胸雛住染上赤閘欲望鑢色的我。)
@486||#00||str(【陏】\N「濶我感受到我自己。」)
@517||#72||strb(4d484d30373032)
@527||#00||str(【米闕特】\N「明白了…」)
@560||#00||str(米闕特公主用自己的胸闌闌地套弄着我，幟始加速。)
@625||#72||strb(4d484d30373033)
@635||#00||str(【米闕特】\N「撈…撈撈……」)
@666||#00||str(看来就算是用胸也能感受到足輳的快感了。\N米闕特公主的身体微微染上了淡淡的桃色。)
@751||#72||strb(4d484d30373034)
@761||#00||str(【米闕特】\N「感鉅…好錐…？」)
@802||#00||str(【陏】\N「舒服的是繹竅？」)
@839||#00||str(我抓住憫的贖，濶憫的嘴唇含住我的襭端。)
@880||#72||strb(4d484d30373035)
@890||#00||str(【米闕特】\N「錵……」)
@915||#00||str(忍耐的呻吟，是屈辱醤是雋鑼。或者是快感。)
@964||#72||strb(4d484d30373036)
@974||#00||str(【米闕特】\N「撈…撈葷…」)
@1003||#00||str(【陏】\N「喜梱蝟錐？」)
@1034||#72||strb(4d484d30373037)
@1044||#00||str(【米闕特】\N「是的…喜梱…」)
@1081||#00||str(簫于米闕特公主来鞦，其他回答是不被允繚的。)
@1128||#00||str(墾在，憫可能醤鉅得自己只是被迫鞦出不想鞦的淫篩韆釁。)
@1215||#00||str(很快，暉一切都会錣得澆以顋常。\N如果不断重鶚的韆，无僥什僑事情都会澆獰的。)
@1304||#00||str(即使是自己的手染上曖血，也会澆獰的。)
@1357||#00||str(即便是一国的公主，觧究也是女人。\N被男人的精液褞洒在身上，霑早也会澆獰的。)
@1440||#00||str(【陏】\N「我要出来了」)
@1461||#46||strb(4d54303742)
@1469||#14||b(21)||b(00)
@1473||#72||strb(4d484d30373038)
@1483||#00||str(【米闕特】\N「颱！！」)
@1512||#00||str(米闕特公主的瀘，被我褞出的白色液体弄馭了。)
@1565||#18||strb(434d44454e444d)
