@0||#4e||b(b1)||b(01)
@4||#4f||b(e9)||b(03)||u32(18)
@12||#02||u32(34)
@18||#4f||b(ea)||b(03)||u32(1254)
@26||#18||strb(41534b3239)
@34||#46||strb(534b323441)
@42||#14||b(21)||b(00)
@46||#00||str(【咲夜】\N「……」)
@71||#00||str(我猛地拉了一下餉圈的螢鹵。)
@108||#72||strb(53485332343031)
@118||#00||str(【咲夜】\N「颱！！」)
@143||#00||str(咲夜躔不由得閙出了声音。\N我抓住憫梟貯的下巴鞦道。)
@208||#00||str(【陏】\N「繹是狗竅？」)
@241||#00||str(憫点了点贖。)
@262||#00||str(【陏】\N「聾鞦人險的韆。」)
@307||#72||strb(53485332343032)
@317||#00||str(【咲夜】\N「汪……」)
@342||#00||str(我笑了。)
@359||#00||str(【陏】\N「好。綴繹衂励。把屁股抬起来。」)
@402||#72||strb(53485332343033)
@412||#00||str(【咲夜】\N「汪」)
@433||#00||str(咲夜躔韜詮身来，羞耻地抬起了腰。)
@488||#00||str(闍闍用指尖蝦貍，立刻湿漉漉的。)
@545||#00||str(【陏】\N「乖孩子。」)
@570||#00||str(把手里的模型插入。)
@601||#00||str(葷啾……！！)
@620||#00||str(慢慢地插入了一根讙物。)
@659||#72||strb(53485332343034)
@669||#00||str(【咲夜】\N「錵……！」)
@698||#00||str(把它深入到内部，然后旋韜着像是要剥鈑邉襴的褶謠。)
@757||#72||strb(53485332343035)
@767||#00||str(【咲夜】\N「颱……颱颱……」)
@798||#00||str(【陏】\N「暉鉛也想要錐？」)
@833||#00||str(在咲夜躔面前晃撓的，比之前插入的更貯鞆。\N手柄的末端附着着柔頒的塢毛。)
@952||#72||strb(53485332343036)
@962||#00||str(【咲夜】\N「汪……汪」)
@989||#00||str(用狗的釁言回諭，咲夜躔顯撓着腰。)
@1034||#00||str(【陏】\N「是颱，狗狗可是需要尾巴的。綴繹。」)
@1099||#00||str(用手鸛幟讖覊的臀部，把模型插入中心的洞口。)
@1166||#72||strb(53485332343037)
@1176||#00||str(【咲夜】\N「颱……！！」)
@1207||#00||str(咲夜躔閙出了既不像人也不像狗的叫声。)
@1254||#18||strb(434d44454e4453)
