%line%,%seq%,%effect%,%music%,%bg%,%cg%,%ov%,%truename%,%name%,%voice%,%st0_name%,%st0_face%,%st1_name%,%st1_face%,%pageflag%,%text%
10000 ,@02min000_op,,,,,,,,,,,,,,
10400 ,,<hide><s_fade time=""1500"" type=""panel"" param=""type=0"">,2,1051,,,,,,,,,,,
10500 ,,,,,,,,,,,,,,,　それからしばらく、みなとの来訪はなくて……。
10600 ,,,,,,,,,,,,,,,　次に二人がやってきたのは、珍しく休日のことだった。
10690 ,,<!ef_af001_reverse>,,9000,,,,,,,,,,,
10700 ,,<!ef_af001_normal><m_fade fadeout=""2000"" fadin=""1500"">,1,1011,,,,,,,,,,,
10800 ,,,,,,,弘明,弘明,,,,,,,「なんだか、久しぶりだね」
10900 ,,,,,,,みなと,みなと,02min108_001.wav,,,"minato,private",85,,「うん……そうだね……」
11000 ,,,,,,,弘明,弘明,,,,minato,85,,「寂しかった？」
11100 ,,,,,,,みなと,みなと,02min108_002.wav,,,minato,6,,「うっ、ううんっ……！　そんなこと……ないよ……」
11200 ,,,,,,,みらい,みらい,01mir108_001.wav,"mirai,private",17,minato,6,,「そぉー？　夜なんか、『お兄ちゃん、お兄ちゃん』って泣いてたじゃない」
11300 ,,,,,,,みなと,みなと,02min108_003.wav,mirai,17,minato,15,,「泣いてないよぉっ……！　うぅ……」
11400 ,,,,,,,,,,mirai,17,minato,15,,　みらいちゃんが、慌てるみなとの隣で小さく笑う。
11500 ,,,,,,,みらい,みらい,01mir108_002.wav,mirai,85,minato,15,,「ほら、それよりみなと。あれ、わたさないとダメでしょっ」
11600 ,,,,,,,みなと,みなと,02min108_004.wav,mirai,85,minato,0,,「あ、うん……」
11700 ,,,,,,,,,,,,,,,
11800 ,,,,,,,,,,,,minato,85,,　みなとがおずおずと差し出したのは、分厚くて高級そうな手さげのビニール袋。
11900 ,,,,,,,弘明,弘明,,,,minato,85,,「……えっ、なに？」
12000 ,,,,,,,みなと,みなと,02min108_005.wav,,,minato,1,,「あっ、えっとね、ママが、お兄ちゃんにおたんじょうびのプレゼントだって……」
12100 ,,,,,,,弘明,弘明,,,,minato,1,,「誕生日？　いや、俺は先月なんだけど……」
12200 ,,,,,,,みなと,みなと,02min108_006.wav,,,minato,12,,「う、うん、知ってるけど……ボクたちを見ててくれたお礼に、って……」
