type,mark,layer,11,109,260,55
type,prologue,button,51,49,293,27
type,swpreview,cref,642,178,138,15
type,preview_on,button,642,178,63,15
type,preview_off,button,717,178,63,15
type,slider,slider,362,99,22,481
type,caption,layer,395,48,403,125
type,pvtext,layer,400,439,392,52
type,pvtitle,layer,400,199,392,66
type,preview,layer,396,195,400,300
type,offview,layer,396,195,400,300
type,page0,radio,16,1,113,38
type,page1,radio,128,1,113,38
type,page2,radio,240,1,113,38
type,page3,radio,352,1,113,38
type,page4,radio,464,1,113,38
type,page5,radio,576,1,113,38
type,ratio,layer,720,15,78,21
type,text,layer,396,501,400,80
type,scroll,layer,11,109,350,460
type,base,base,0,0,800,600
file,mark,flowchart@mark%layer;mahjong,198,22,40,13,mahjong
file,mark,flowchart@mark%layer;new,223,0,37,19,new
file,mark,flowchart@mark%layer;nosave,0,0,260,55,nosave
file,prologue,flowchart@prologue%button;on,1,0,292,27,on
file,prologue,flowchart@prologue%button;over,0,0,292,27,over
file,prologue,flowchart@prologue%button;normal,0,0,292,27,normal
file,swpreview,flowchart@swpreview%cref;on,0,0,138,15,on
file,swpreview,flowchart@swpreview%cref;over,0,0,138,15,over
file,swpreview,flowchart@swpreview%cref;normal,0,1,138,13,normal
file,preview_on,flowchart@preview__on%button;nosave,0,0,63,15,nosave
file,preview_off,flowchart@preview__off%button;nosave,0,0,63,15,nosave
file,slider,flowchart@slider%slider;on,0,0,22,23,on
file,slider,flowchart@slider%slider;over,0,0,22,23,over
file,slider,flowchart@slider%slider;normal,0,0,22,23,normal
file,slider,flowchart@slider%slider;nosave,0,0,22,481,nosave
file,caption,flowchart@caption%layer;page0,0,0,403,125,page0
file,caption,flowchart@caption%layer;page1,0,0,403,125,page1
file,caption,flowchart@caption%layer;page2,0,0,403,125,page2
file,caption,flowchart@caption%layer;page3,0,0,403,125,page3
file,caption,flowchart@caption%layer;page4,0,0,403,125,page4
file,caption,flowchart@caption%layer;page5,0,0,403,125,page5
file,pvtext,flowchart@pvtext%layer;nosave,0,0,392,52,nosave
file,pvtitle,flowchart@pvtitle%layer;nosave,0,0,392,66,nosave
file,preview,flowchart@preview%layer;nosave,0,0,400,300,nosave
file,offview,flowchart@offview%layer;page0,0,0,400,300,page0
file,offview,flowchart@offview%layer;page1,0,0,400,300,page1
file,offview,flowchart@offview%layer;page2,0,0,400,300,page2
file,offview,flowchart@offview%layer;page3,0,0,400,300,page3
file,offview,flowchart@offview%layer;page4,0,0,400,300,page4
file,offview,flowchart@offview%layer;page5,0,0,400,300,page5
file,page0,flowchart@page0%radio;on,0,0,113,38,on
file,page0,flowchart@page0%radio;over,0,0,113,38,over
file,page0,flowchart@page0%radio;normal;p,2,6,109,32,normal,p
file,page1,flowchart@page1%radio;on,0,0,113,38,on
file,page1,flowchart@page1%radio;over,0,0,113,38,over
file,page1,flowchart@page1%radio;normal;p,2,6,109,32,normal,p
file,page2,flowchart@page2%radio;on,0,0,113,38,on
file,page2,flowchart@page2%radio;over,0,0,113,38,over
file,page2,flowchart@page2%radio;normal;p,2,6,109,32,normal,p
file,page3,flowchart@page3%radio;on,0,0,113,38,on
file,page3,flowchart@page3%radio;over,0,0,113,38,over
file,page3,flowchart@page3%radio;normal;p,2,6,109,32,normal,p
file,page4,flowchart@page4%radio;on,0,0,113,38,on
file,page4,flowchart@page4%radio;over,0,0,113,38,over
file,page4,flowchart@page4%radio;normal;p,2,6,109,32,normal,p
file,page5,flowchart@page5%radio;on,0,0,113,38,on
file,page5,flowchart@page5%radio;over,0,0,113,38,over
file,page5,flowchart@page5%radio;normal;p,2,6,109,32,normal,p
file,ratio,flowchart@ratio%layer;nosave,0,0,78,21,nosave
file,text,flowchart@text%layer;nosave,0,0,400,80,nosave
file,scroll,flowchart@scroll%layer;nosave,0,0,350,460,nosave
file,base,flowchart@base%base,0,0,800,600,
